Scientific Name,Trees_of_pune Page. Nos_.,Family,Local Name,Country,Wikipedia Link,Photo,Occasional/ Rare/ Common,Leaf Type,Leaf Attachment,Leaf Shape,Flower size,Fruit size,Canopy shape,Medicinal value of tree,Other uses of tree,local name in devnagari script
tabebuia pallida,182,Bignoniaceae,Purple Trumpet,Brazil,,yes,occasional,digitate,,oblong,10-15cm,,oval,,,
tabebuia avellanedae,183,Bignoniaceae,Taheboo Tree,Brazil,,yes,occasional,digitate,,ovate,5-8cm,10-15cm,vase shaped,,,
tabebuia chrysantha,183,Bignoniaceae,Yellow Trumpet Tree,Brazil,,yes,Rare,digitate,,ovate,5-8cm,10-15cm,irregular,,,
tabebuia chrysotricha,183,Bignoniaceae,Yellow Trumpet Tree,Brazil,,yes,Rare,digitate,,ovate,5-8cm,10-15cm,irregular,,,
adonidia merrillii,188,,Manila Palm,Philippiness,,yes,Rare,,,,,3cm,,,,
veitchia merrillii,188,,Manila Palm,Philippiness,,no,Rare,,,,,3cm,,,,
areca catechu,188,,Supari,Malaysia,,yes,occasional,,,,,3-5cm,,,,
carpentaria accuminata,188,,Carpentaria Palm,Australia,,yes,Rare,,,,,3cm,,,,
caryota mitis,189,,Bherli Mad,South East Asia,,yes,occasional,,,,1-3m,2cm,,,,
caryota urens,189,,Bherli Mad,India-Western Ghats,,yes,Rare,,,,1-3m,2cm,,,,
caryota rumphiana,189,,Bherli Mad,India-Western Ghats,,yes,Rare,,,,1-3m,2cm,,,,
chambeyronia macrocarpa,189,,Red Leaf Palm,"New Caledonea, near Australia",,yes,occasional,,,,,,,,,
dictyosperma album,189,,Hurricane Palm,Mascarene Islands,,yes,occasional,,,,,,,,,
dypsis decaryi,189,,Triangle Palm,Madagascar,,yes,Rare,,,,50cm,2cm,,,,
Neodypsis decaryi,189,,Triangle Palm,Madagascar,,yes,Rare,,,,50cm,2cm,,,,
dypsis leptocheilos,189,,Red Neck Palm,Madagascar,,no,Rare,,,,,2-3cm,,,,
howea forsteriana,189,,Kentia Palm,Australia,,yes,Rare,,,,,1cm,,,,
hyophorbe lagenicaulis,190,,Champagne Palm,Mascarene Islands,,yes,occasional,,,,,1cm,,,,
hyophorbe verschaffeltii,190,,Champagne Palm,"Rodrigues Island, Mauritius",,yes,Rare,,,,,1cm,,,,
phoenicophorium borsigianum,190,,Thief Palm,"Seychelles Islands, in Indian Ocean",,yes,Rare,,,,,1cm,,,,
ravenea rivularis,190,,Majesty Palm,Madagascar,,yes,occasional,,,,1-3m,2 cm,,,,
roystonea oleracea,190,,Bottle Palm,South America,,yes,occasional,,,,,1cm,,,,
roystonea regia,190,,Bottle Palm,Cuba,,yes,common,,,,,1cm,,,,
veitchia arecina,190,,Montgomery Palm,"Vanuatu Islands, near Australia",,no,Rare,,,,,3cm,,,,
wodyetia bifurcata,190,,Foxtail Palm,Australia,,yes,occasional,,,,,3cm,,,,
chrysalidocarpus renda,191,,Areca Palm,Madagascar,,yes,common,,,,,,,,,
dypsis lutescens,191,,Areca Palm,Madagascar,,yes,common,,,,30-50cm,1cm,,,,
dypsis madagascariensis,191,,Areca Palm,Madagascar,,yes,common,,,,30-50cm,1cm,,,,
cyrtostachys renda,191,,Lipstick Palm,Thailand,,yes,Rare,,,,,,,,,
ptychosperma elegans,191,,Mac Arthur Palm,New Guinea,,yes,Rare,,,,,2 cm,,,,
ptychosperma macarthurii,191,,Mac Arthur Palm,New Guinea,,yes,occasional,,,,,2cm,,,,
aiphanes erosa,192,,Bitten Palm,West Indies,,yes,Rare,,,,,,,,,
attalea cohune,192,,American Oil Palm,Mexico,,yes,Rare,,,,,3-4 cm,,,,
butia capitata,192,,Jelly Palm,Brazil,,yes,Rare,,,,,3cm,,,,
cocos nucifera,193,,Naral,"Tropics, all over world",,no,common,,,,,20-30cm,,,,
elaeis guineensis,193,,Oil Palm,Africa,,yes,occasional,,,,,3-4 cm,,,,
phoenix canariensis,193,,Canary Island Date Palm,"Canary Islands, near Africa",,yes,Rare,,,,,1cm,,,,
phoenix robusta,193,,Shelu,India-Western Ghats,,yes,Rare,,,,,2cm,,,,
phoenix roebelenii,193,,Dwarf Date Palm,"Laos, near Burma",,yes,Rare,,,,,,,,,
phoenix rupicola,193,,Cliff Date Palm,India-Sikkim,,yes,Rare,,,,,3cm,,,,
phoenix dactylifera,194,,Shindi,Deserts in Africa,,yes,Rare,,,,,1cm,,,,
phoenix sylvestris,194,,Shindi,India-Pune,,yes,common,,,,,1cm,,,,
syagrus coronata,194,,Licuri Palm,Brazil,,yes,Rare,,,,,2-3cm,,,,
syagrus romanzoffiana,194,,Queen Palm,South America,,yes,Rare,,,,50-80cm,3-4 cm,,,,
syagrus sancona,194,,Queen Palm,South America,,no,Rare,,,,50-80cm,3-4 cm,,,,
Arecastrum romanzoffianum,194,,Queen Palm,South America,,no,Rare,,,,50-80cm,3-4 cm,,,,
wallichia disticha,194,,Wallich's Palm,India-Sikkim and Himalayas,,no,Rare,,,,,2-3cm,,,,
arenga engleri,195,,Formosa Palm,Taiwan,,no,Rare,,,,1cm,2cm,,,,
chamaedorea seifrizii,195,,Bamboo Palm,Mexico,,yes,Rare,,,,,1cm,,,,
brahea armata,196,,Mexican Blue Palm,Mexico,,yes,Rare,,,,3-5cm,1-3cm,,,,
coccothrinax argentata,196,,Hispaniolan Silver Thatch,Hispaniola,,yes,occasional,,,,,1cm,,,,
copernicia prunifera,196,,Carnauba Wax Palm,Mascarene Islands near Madagascar,,yes,Rare,,,,,1-2cm,,,,
corypha umbraculifera,197,,Talipot,India,,yes,Rare,,,,6m,1-2cm,,,,
latania loddigesii,197,,Blue Latan Palm,Mascarene Islands near Madagascar,,yes,Rare,,,,2m,3-4 cm,,,,
latania lontaroides,197,,Red Latan Palm,Mascarene Islands near Madagascar,,yes,occasional,,,,,3-4 cm,,,,
latania verschaffeltii,197,,Yellow Latan Palm,Mauritius,,yes,Rare,,,,,2-3cm,,,,
licuala grandis,197,,Vanautu Fan Palm,Vanautu Islands,,yes,occasional,,,,,1cm,,,,
licuala spinosa,197,,Vanautu Fan Palm,Indonesia,,yes,Rare,,,,,1cm,,,,
livistona chinensis,197,,Chinese Fam Palm,"Taiwan, Japan",,yes,occasional,,,,,1-2cm,,,,
livistona rotundifolia,198,,Foot Stool Palm,"Philippines, Indonesia, New Guinea",,yes,occasional,,,,,2-4cm,,,,
pritchardia pacifica,198,,Fiji Fan Palm,Tonga,,yes,occasional,,,,,1cm,,,,
thrinax parviflora,198,,Thatch Palm,Jamaica,,yes,occasional,,,,,6-7mm,,,,
washingtonia robusta,198,,California Fan Palm,Mexico,,yes,Rare,,,,,1cm,,,,
washingtonia filifera,198,,California Fan Palm,North America,,yes,occasional,,,,,1cm,,,,
acoelorrhaphe wrightii,199,,Everglades Palm,"Florida, West Indies",,yes,Rare,,,,,1cm,,,,
chamaerops humilis,199,,European Fan Palm,Southern Europe,,yes,Rare,,,,,,,,,
bismarckia nobilis,201,,Silver Palm,Madagascar,,yes,occasional,,,,,3cm,,,,
borassus flabellifer,200,,Tad,India and Malaysia,,yes,occasional,,,,,10-15cm,,,,
hyphaene dichotoma,200,,Ravan Tad,India-West Coast,,yes,occasional,,,,,5-10cm,,,,
sabal causiarum,201,,Cabage Palm,"Hisponiola Islands, Carribean",,yes,occasional,,,,,8-14cm,,,,
sabal palmetto,201,,Cabage Palm,"North America, Cuba",,yes,Rare,,,,,8-14cm,,,,
sabal mauritiiformis,201,,Bay Palmetto,Trinidad,,yes,Rare,,,,,1cm,,,,
callitris glaucophylla,214,Cupressaceae,White Cypress,Australia,,yes,Rare,,,,,,irregular,,,
pinus longifolia,214,Pinaceae,Pine,India-Himalayas,,yes,Rare,,,,,,conical,,,
pinus roxburghii,214,Pinaceae,Pine,India-Himalayas,,yes,Rare,,,,,,conical,,,
cupressus glabra,215,Cupressaceae,Agra Suru,America,,yes,Rare,,,,,,,,,
cupressus sempervirens,215,Cupressaceae,Italian Cypress,Mediterranean region,,yes,Rare,,,,,,,,,
cupressus torulosa,216,Cupressaceae,Bhutan Cypress,India-Himalayas,,yes,occasional,,,,,,,,,
juniperus chinensis,216,Cupressaceae,Chinese Juniper,China,,yes,occasional,,,,,,,,,
afrocarpus gracilior,217,Podocarpaceae,Fern Pine,Africa,,yes,common,,,,,,,,,
podocarpus gracilior,217,Podocarpaceae,Fern Pine,Africa,,yes,occasional,,,,,,,,,
Platycladus orientalis,217,Cupressaceae,Morpankhi,China,,yes,common,,,,,,,,,
thuja orientalis (Platycladus orientalis),217,Cupressaceae,Morpankhi,China,,yes,common,,,,,,,,,
agathis robusta,218,Araucariaceae,Kauri Pine,Australia,,yes,Rare,,,,,,,,,
araucaria bidwillii,218,Araucariaceae,Bunya Pine,Australia,,yes,Rare,,,,,,,,,
araucaria columnaris,219,Araucariaceae,New Caledonian Pine,Australia,,yes,occasional,,,,,,,,,
araucaria cunninghamii,219,Araucariaceae,Hoop Pine,Australia,,yes,Rare,,,,,,,,,
araucaria heterophylla,220,Araucariaceae,Christmas Tree,"Norfolk Island, near Australia",,yes,occasional,,,,,,,,,
araucaria hunsteinii,220,Araucariaceae,Klinki Pine,New Guinea,,yes,Rare,,,,,,,,,
podocarpus neriifolius,221,Podocarpaceae,Yellow Wood,India,,yes,common,,,,,,,,,
taxodium distichum,221,Taxodiaceae,Bald Cypress,America,,yes,Rare,,,,,,,,,
cycas circinalis,223,,Queen Sago,India-Western Ghats,,yes,occasional,,,,,,,,,
cycas pectinata,223,,Thakal,Nepal and Sikkim,,yes,Rare,,,,,,,,,
cycas revoluta,223,,Sago Palm,China and Japan,,yes,common,,,,,,,,,
cycas rumphii,223,,Indonesian Cycas,Indonesia,,yes,occasional,,,,,,,,,
cycas thouarsii,223,,Samble,Africa,,yes,Rare,,,,,,,,,
cycas zeylanica,223,,Andaman Cycas,Sri Lanka and Andaman,,yes,Rare,,,,,,,,,
bambusa arundinacea,225,,Thorny Bamboo,India,,yes,occasional,,,,,,,,,
bambusa ventricosa,225,,Buddha's Belly Bamboo,China,,yes,occasional,,,,,,,,,
bambusa vulgaris,225,,Golden Bamboo,China,,yes,common,,,,,,,,,
dendrocalamus giganteus,225,,Giant Bamboo,Malaysia,,yes,Rare,,,,,,,,,
dendrocalamus strictus,225,,Velu,India,,no,occasional,,,,,,,,,
schizostachyum lumampao,225,,Philippines Bamboo,Philippines,,no,Rare,,,,,,,,,
stereospermum chelonoides,231,,,,,no,,,,,,,,,,
vateria indica,231,,,,,yes,,,,,,,,,,
bischofia javanica,232,,,,,yes,,,,,,,,,,
excoecaria agallocha,232,,,,,yes,,,,,,,,,,
kandelia candel,232,,,,,yes,,,,,,,,,,
rhizophora mucronata,232,,,,,yes,,,,,,,,,,
canarium strictum,233,,,,,yes,,,,,,,,,,
xylocarpus granatum,233,,,,,yes,,,,,,,,,,
bruguiera gymnorrhiza,236,,,,,yes,,,,,,,,,,
cleistanthus collinus,249,Euphorbiaceae,Garari,India,,no,Rare,,,,,,,,,
commiphora stocksiana,249,Burseraceae,Bayi,Sindh,,yes,Rare,,,,,,,,,
koelreuteria bipinnata,249,Sapindaceae,Golden Rain Tree,Korea,,yes,Rare,,,,,,,,,
paraserianthes lophantha,249,Mimosaceae,Cape Wattle,Australia,,yes,Rare,,,,,,,,,
